Table 210-06401 : Unemployed persons and unemployment rate by age and sex,,,,,,,,
 ,,,,,,,,
Sex,,,Male,Male,Female,Female,Both sexes,Both sexes
 , , ,Unemployed persons (1),Unemployment rate (2),Unemployed persons (1),Unemployment rate (2),Unemployed persons (1),Unemployment rate (2)
,,,No. ('000),(%),No. ('000),(%),No. ('000),(%)
Year / Moving 3-month period,,Age group,,,,,,
2/2023 - 4/2023,,45 - 49,7.1,3.3,5.3,2.2,12.4,2.7
2/2023 - 4/2023,,50 - 54,8.8,4.0,5.7,2.4,14.5,3.2
2/2023 - 4/2023,,55 - 59,7.5,3.5,4.5,2.3,12.1,3.0
2/2023 - 4/2023,,60 and over,9.2,2.8,3.7,1.8,12.8,2.4
2/2023 - 4/2023,,     60 - 64,6.6,3.5,2.7,2.2,9.3,3.0
2/2023 - 4/2023,,     65 and over,2.6,1.9,0.9,1.3,3.5,1.7
2/2023 - 4/2023,,15 and over,70.4,3.7,44.8,2.3,115.2,3.0
3/2023 - 5/2023,,15 - 24,8.2,9.3,4.3,4.8,12.4,7.1
3/2023 - 5/2023,,     15 - 19,1.1,11.9,0.5,5.3,1.6,8.4
3/2023 - 5/2023,,     20 - 24,7.1,9.0,3.7,4.8,10.8,6.9
3/2023 - 5/2023,,25 - 29,9.3,5.1,6.5,3.3,15.8,4.2
3/2023 - 5/2023,,30 - 34,6.8,3.2,5.8,2.5,12.6,2.8
3/2023 - 5/2023,,35 - 39,6.5,3.0,3.4,1.3,9.9,2.1
3/2023 - 5/2023,,40 - 44,6.1,2.7,5.8,2.2,11.9,2.4
3/2023 - 5/2023,,45 - 49,6.7,3.1,5.7,2.3,12.4,2.7
3/2023 - 5/2023,,50 - 54,8.6,3.9,4.8,2.1,13.4,3.0
3/2023 - 5/2023,,55 - 59,8.2,3.9,4.5,2.3,12.7,3.1
3/2023 - 5/2023,,60 and over,8.6,2.7,4.3,2.2,12.9,2.5
3/2023 - 5/2023,,     60 - 64,5.6,3.0,3.0,2.4,8.6,2.7
3/2023 - 5/2023,,     65 and over,3.0,2.2,1.3,1.8,4.3,2.1
3/2023 - 5/2023,,15 and over,68.8,3.6,45.1,2.4,114.0,3.0
4/2023 - 6/2023,,15 - 24,10.3,11.5,6.4,7.3,16.7,9.4
4/2023 - 6/2023,,     15 - 19,1.4,15.0,0.7,7.5,2.0,11.2
4/2023 - 6/2023,,     20 - 24,8.9,11.1,5.7,7.3,14.7,9.2
4/2023 - 6/2023,,25 - 29,8.9,5.0,6.1,3.2,15.0,4.0
4/2023 - 6/2023,,30 - 34,7.1,3.4,4.7,2.0,11.8,2.7
4/2023 - 6/2023,,35 - 39,6.1,2.8,3.4,1.3,9.4,2.0
4/2023 - 6/2023,,40 - 44,5.6,2.5,5.7,2.1,11.3,2.3
4/2023 - 6/2023,,45 - 49,6.8,3.1,5.5,2.2,12.2,2.7
4/2023 - 6/2023,,50 - 54,7.6,3.5,4.3,1.9,11.9,2.6
4/2023 - 6/2023,,55 - 59,8.3,3.9,4.8,2.5,13.1,3.2
4/2023 - 6/2023,,60 and over,8.4,2.6,4.3,2.1,12.7,2.4
4/2023 - 6/2023,,     60 - 64,5.5,2.9,3.0,2.3,8.5,2.7
4/2023 - 6/2023,,     65 and over,2.9,2.1,1.3,1.8,4.2,2.0
4/2023 - 6/2023,,15 and over,68.9,3.6,45.3,2.4,114.2,3.0
5/2023 - 7/2023,,15 - 24,10.3,11.1,9.6,10.3,19.9,10.7
5/2023 - 7/2023,,     15 - 19,1.5,14.2,1.7,14.5,3.2,14.4
5/2023 - 7/2023,,     20 - 24,8.8,10.8,7.9,9.6,16.7,10.2
5/2023 - 7/2023,,25 - 29,9.3,5.2,6.6,3.4,16.0,4.3
5/2023 - 7/2023,,30 - 34,6.1,2.9,4.5,1.9,10.6,2.4
5/2023 - 7/2023,,35 - 39,5.5,2.5,3.6,1.4,9.1,1.9
5/2023 - 7/2023,,40 - 44,5.7,2.5,5.1,1.9,10.8,2.2
5/2023 - 7/2023,,45 - 49,6.1,2.8,4.8,2.0,10.9,2.4
5/2023 - 7/2023,,50 - 54,7.6,3.5,4.6,2.0,12.2,2.7
5/2023 - 7/2023,,55 - 59,7.0,3.3,4.2,2.1,11.3,2.8
5/2023 - 7/2023,,60 and over,7.6,2.3,3.6,1.8,11.2,2.1
5/2023 - 7/2023,,     60 - 64,5.4,2.9,2.0,1.6,7.4,2.4
5/2023 - 7/2023,,     65 and over,2.2,1.5,1.6,2.3,3.8,1.8
5/2023 - 7/2023,,15 and over,65.3,3.4,46.7,2.4,112.0,2.9
6/2023 - 8/2023,,15 - 24,10.2,10.6,12.5,12.9,22.7,11.8
6/2023 - 8/2023,,     15 - 19,2.5,19.6,1.5,11.2,4.0,15.3
6/2023 - 8/2023,,     20 - 24,7.7,9.3,11.0,13.1,18.7,11.2
6/2023 - 8/2023,,25 - 29,8.5,4.9,6.9,3.6,15.5,4.2
6/2023 - 8/2023,,30 - 34,5.9,2.8,4.6,2.0,10.4,2.4
6/2023 - 8/2023,,35 - 39,5.0,2.3,3.5,1.4,8.5,1.8
6/2023 - 8/2023,,40 - 44,5.3,2.3,4.9,1.8,10.1,2.0
6/2023 - 8/2023,,45 - 49,6.6,3.1,4.3,1.8,10.9,2.4
6/2023 - 8/2023,,50 - 54,7.8,3.6,4.8,2.0,12.6,2.8
