"Table 220-19013 : Average monthly salaries, average number of normal working hours per day and average number of standard working days per month of supervisory, technical, clerical, service and miscellaneous non-production workers by industry by occupation by sex",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese restaurants,     Miscellaneous non-production workers,10964,11816,11687,10627,11886,11690,10980,12188,11933,11100,12262,12059,11675,12684,12446,11702,12748,12527,11690,12912,12625,11929,12941,12763,11998,13241,12977,12152,13312,13089,12452,13365,13192,12585,13488,13322,12939,13865,13683,13012,14066,13815,13425,14085,13941,12937,14078,13833,13516,14050,13922,12966,14070,13808,13461,14389,14188,13245,14372,14195,12821,14518,14215,12787,14593,14268,13183,14787,14491,13004,14716,14432,13684,14817,14610,13464,14842,14564,13964,15001,14804,13887,14916,14767,14487,14954,14875,13912,15353,15116,14511,15271,15105,14439,15772,15453,14034,16051,15458,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26
Chinese restaurants,          Dishwasher,[*1],11899,11948,[*1],12067,12084,[*1],12220,12231,[*1],12278,12275,[*1],12708,12663,[*1],12797,12767,[*1],12975,12891,[*1],13007,12968,[*1],13301,13195,[*1],13341,13319,[*1],13397,13439,[*1],13563,13584,[*1],13810,13868,[*1],13921,13941,[*1],14027,14026,[*1],14180,14087,[*1],14173,14098,[*1],14235,14147,[*1],14298,14210,[*1],14334,14288,[*1],14380,14351,[*1],14457,14436,[*1],14586,14555,[*1],14584,14529,[*1],14662,14624,[*1],14769,14744,[*1],14975,14875,[*1],14904,14875,[*1],14973,15048,[*1],15379,15210,[*1],15197,15377,[*1],15705,15411,[*1],16304,15642,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26
Real estate maintenance management (more commonly known as property management),"Supervisory, technical, clerical, service and miscellaneous non-production workers",12931,12470,12781,13150,12261,12840,13075,12227,12774,13347,12264,12933,13521,12543,13160,13966,12665,13497,13966,12626,13467,13966,12746,13515,14394,13182,13934,14322,13131,13884,14422,12749,13722,14760,12918,13964,15019,13380,14364,15182,13681,14604,15399,13564,14643,15289,13243,14425,15262,13343,14468,15327,13795,14748,15164,13432,14354,15492,14221,15016,15467,14192,14911,15514,14417,15052,15439,14517,15080,15520,14280,15000,15501,14774,15194,15400,14837,15183,15467,14858,15221,15660,15122,15449,15864,15206,15592,15932,15628,15803,15774,15814,15790,16309,15639,16036,16780,15459,16217,10,10,10,9,10,9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,26,26,26,26,26,26,26,26,26,25,25,26,26,26,26,25,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Real estate maintenance management (more commonly known as property management),     Supervisory and technical workers,17373,17119,17310,17489,17059,17377,17516,16829,17324,17673,16805,17433,18045,16951,17743,18196,17262,17948,18541,17550,18260,18453,17581,18209,18900,17916,18633,18889,18160,18692,19081,18317,18896,19393,18569,19198,19631,18587,19388,19814,19086,19621,20072,18527,19670,20306,19439,20077,20441,19441,20168,20493,19158,20124,20352,19755,20174,20409,19741,20239,20572,20067,20435,20765,20136,20588,20648,20275,20549,20711,20166,20581,20844,20765,20822,21201,20220,20907,21136,20720,21031,21371,20220,21115,21366,19807,21000,21486,20188,21082,21412,20720,21218,21538,20931,21355,22137,21530,21951,9,9,9,9,9,9,8,9,9,9,9,9,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Real estate maintenance management (more commonly known as property management),          Accounting supervisor,[*1],22774,22624,[*1],22717,22404,[*1],22469,22434,[*1],22284,22150,[*1],22432,22620,[*1],22771,23050,[*1],23186,23146,[*1],23510,23387,[*1],23743,23594,[*1],23843,23713,[*1],24046,23825,[*1],24329,24023,[*1],24645,24369,[*1],24968,24538,[*1],24995,24567,[*1],24983,24616,[*1],25045,24733,[*1],25235,24846,[*1],25647,25111,[*1],26410,25972,[*1],26896,26515,[*1],26997,26972,[*1],27157,27133,[*1],27168,27142,[*1],27480,27464,[*1],27803,27807,[*1],28158,28152,[*1],28534,28652,[*1],27934,28052,[*1],27549,28058,[*1],27430,27730,[*1],27908,28249,[*1],28458,28848,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
Real estate maintenance management (more commonly known as property management),          Maintenance technician,19664,[*1],19706,20062,[*1],20084,20089,[*1],20135,20229,[*1],20231,20649,[*1],20699,20759,[*1],20796,20926,[*1],20985,20975,[*1],21011,21332,[*1],21345,21577,[*1],21605,21567,[*1],21594,21814,[*1],21855,21874,[*1],21880,22114,[*1],22231,22252,[*1],22278,22508,[*1],22550,22601,[*1],22626,22750,[*1],22794,22656,[*1],22851,22822,[*1],23055,23017,[*1],23356,23204,[*1],23372,23118,[*1],23241,23285,[*1],23323,23382,[*1],23435,23503,[*1],23475,23511,[*1],23483,23967,[*1],23983,24567,[*1],24583,23967,[*1],23984,24055,[*1],24105,24069,[*1],24132,24497,[*1],24583,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Real estate maintenance management (more commonly known as property management),          Estate officer/building services officer,18100,17003,17645,18336,17449,18017,18448,17281,17929,18739,17722,18308,19033,17874,18523,19182,18046,18709,19518,18446,19000,19846,18906,19443,20226,18966,19713,20390,19069,19813,20442,19340,20001,20282,19228,19854,20396,19440,20061,20575,19574,20196,20639,19674,20229,20730,19735,20298,20750,19856,20320,20856,20060,20462,20772,20108,20379,20879,20254,20556,21087,20665,20864,21118,20780,20936,21263,20919,21087,21375,21041,21192,21408,21125,21276,21461,21230,21375,21961,21056,21552,22332,21290,21875,22929,21743,22362,22426,21188,21768,21827,20939,21382,22427,21538,21935,23026,21818,22342,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,24,23,23,23,23,23,24,23,23,23,23,23,23,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
Real estate maintenance management (more commonly known as property management),          Building supervisor/security supervisor,15804,14913,15678,15730,14528,15529,15706,14283,15476,15708,14320,15468,16190,14515,15894,16326,14767,16059,16605,14857,16299,16755,15161,16489,16963,15339,16694,17105,15640,16920,17101,15658,16912,17694,15724,17471,17866,16200,17618,18172,16376,17949,18246,16393,17939,18211,16604,18013,18293,16726,18100,18311,16705,18074,18319,16985,18147,18383,17043,18162,18618,17266,18355,18763,17405,18480,18597,17482,18405,18605,17522,18426,18725,17719,18527,18698,17895,18421,19087,17395,18843,19587,17509,19340,19675,18109,19473,19193,17595,18875,18706,18192,18643,19304,18789,19227,19762,19386,19700,9,10,9,9,9,9,9,9,9,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,26,26,26,26,26,26,26,26,26,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
Real estate maintenance management (more commonly known as property management),     Clerical and secretarial workers,13432,13166,13203,13640,13502,13519,13192,13482,13448,13324,13831,13756,13384,14242,14047,13581,13738,13706,13968,14028,14013,14164,14105,14121,14180,14403,14344,14624,14442,14498,14765,14247,14389,15077,14372,14560,15353,14567,14755,14745,14677,14689,14316,14768,14665,14148,14371,14316,14826,14866,14856,15033,14552,14673,15480,14834,14991,15412,15172,15247,15718,15435,15524,16212,15740,15872,16074,16159,16139,15886,16087,16036,15865,16158,16109,16181,15759,15812,16509,15947,16055,17009,15852,16072,16831,15802,16106,16367,16144,16223,16832,16279,16455,16376,16483,16447,16975,16891,16919,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,23,23,23,23,24,24,24,24,24,24,24,23,23,24,23,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
Real estate maintenance management (more commonly known as property management),          Accounting clerk,[*1],15191,14986,[*1],15338,15170,[*1],15464,15145,[*1],15789,15280,[*1],16025,15597,[*1],16133,16074,[*1],16617,16359,[*1],16788,16585,[*1],17058,16971,[*1],17083,16944,[*1],17075,17028,[*1],17064,17006,[*1],17250,17138,[*1],17254,17299,[*1],17424,17378,[*1],17683,17688,[*1],[*1],17807,[*1],[*1],17872,[*1],[*1],17793,[*1],[*1],18031,[*1],[*1],18165,[*1],[*1],18243,[*1],[*1],18322,[*1],[*1],18317,[*1],[*1],18382,[*1],[*1],18469,[*1],[*1],18557,[*1],[*1],18252,[*1],[*1],18382,[*1],[*1],18730,[*1],[*1],18346,[*1],[*1],18944,[*1],[*1],18918,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,23,23,23,23,23,23,23,23,23,23,23,23,22,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
