Table 210-06103 : Unemployment rate and underemployment rate by age and sex,,,,,,,,
 ,,,,,,,,
Sex,,,Male,Male,Female,Female,Both sexes,Both sexes
 , , ,Unemployment rate (1),Underemployment rate (2),Unemployment rate (1),Underemployment rate (2),Unemployment rate (1),Underemployment rate (2)
,,,(%),(%),(%),(%),(%),(%)
Year / Moving 3-month period,,Age group,,,,,,
1996,,15 - 19,12.6,2.4,12.3,0.9,12.5,1.7
1996,,20 - 29,4.4,1.5,2.8,0.3,3.6,0.9
1996,,30 - 39,2.2,2.0,1.5,0.6,1.9,1.4
1996,,40 - 49,2.4,2.7,1.7,1.6,2.2,2.3
1996,,50 - 59,3.1,2.7,1.3,1.9,2.7,2.5
1996,,60 and over,1.2,1.8,[*7],2.2,1.1,1.9
1996,,15 and over,3.1,2.2,2.3,0.8,2.8,1.6
1997,,15 - 19,9.4,2.2,10.9,1.3,10.0,1.8
1997,,20 - 29,3.3,0.9,2.2,0.3,2.8,0.6
1997,,30 - 39,1.7,1.2,1.5,0.4,1.6,0.9
1997,,40 - 49,1.8,1.8,1.6,1.3,1.7,1.6
1997,,50 - 59,2.5,2.1,1.5,1.7,2.2,2.0
1997,,60 and over,1.0,1.3,[*7],1.3,1.0,1.3
1997,,15 and over,2.3,1.5,2.0,0.7,2.2,1.1
1998,,15 - 19,20.5,3.2,20.3,2.6,20.4,2.9
1998,,20 - 29,6.9,2.5,4.5,0.6,5.7,1.5
1998,,30 - 39,3.8,2.9,2.5,0.9,3.3,2.0
1998,,40 - 49,4.3,3.9,3.5,2.3,4.0,3.4
1998,,50 - 59,5.5,3.9,3.6,3.3,5.0,3.8
1998,,60 and over,2.4,2.8,1.5,3.8,2.3,3.0
1998,,15 and over,5.2,3.2,4.0,1.4,4.7,2.5
1999,,15 - 19,27.6,6.3,25.8,4.4,26.8,5.5
1999,,20 - 29,9.6,3.3,5.5,1.0,7.5,2.1
1999,,30 - 39,5.1,3.0,3.2,1.1,4.3,2.2
1999,,40 - 49,6.0,4.4,4.2,3.2,5.3,4.0
1999,,50 - 59,8.1,3.8,5.0,3.7,7.2,3.7
1999,,60 and over,3.9,3.1,1.7,3.6,3.5,3.2
1999,,15 and over,7.2,3.6,4.9,1.9,6.2,2.9
2000,,15 - 19,23.9,5.1,23.4,4.4,23.7,4.8
2000,,20 - 29,6.8,2.7,4.8,0.8,5.8,1.7
2000,,30 - 39,3.7,2.7,2.7,1.0,3.2,1.9
2000,,40 - 49,4.8,4.3,3.5,3.2,4.3,3.9
2000,,50 - 59,7.1,4.0,3.3,3.8,6.0,4.0
2000,,60 and over,3.3,3.1,1.3,6.0,2.9,3.6
2000,,15 and over,5.6,3.4,4.1,1.8,4.9,2.8
2001,,15 - 19,25.4,5.1,21.4,4.0,23.5,4.6
2001,,20 - 29,7.8,2.4,4.6,0.7,6.2,1.5
2001,,30 - 39,4.3,2.6,2.6,1.0,3.5,1.8
2001,,40 - 49,5.4,3.8,3.4,2.8,4.6,3.4
2001,,50 - 59,6.3,3.4,3.3,3.4,5.4,3.4
2001,,60 and over,2.9,2.4,1.7,3.4,2.7,2.5
2001,,15 and over,6.0,3.1,3.9,1.7,5.1,2.5
2002,,15 - 19,34.2,4.9,26.5,4.8,30.6,4.8
2002,,20 - 29,10.5,3.1,6.1,1.0,8.2,2.0
2002,,30 - 39,6.4,3.0,4.4,1.0,5.4,2.1
2002,,40 - 49,7.1,4.5,6.0,3.4,6.7,4.1
2002,,50 - 59,9.1,4.2,6.5,4.4,8.2,4.2
2002,,60 and over,5.5,2.9,2.9,3.5,5.0,3.0
2002,,15 and over,8.4,3.7,6.0,2.1,7.3,3.0
2003,,15 - 19,32.7,7.2,27.3,5.8,30.2,6.6
2003,,20 - 29,11.5,3.7,6.1,1.7,8.7,2.6
2003,,30 - 39,7.1,3.4,4.9,1.7,6.0,2.5
2003,,40 - 49,8.0,4.9,6.4,3.8,7.4,4.4
2003,,50 - 59,10.6,4.3,6.8,5.2,9.3,4.6
2003,,60 and over,5.1,3.0,2.4,4.4,4.6,3.3
2003,,15 and over,9.3,4.1,6.3,2.8,7.9,3.5
